StudentID,AssertiveDisciplines,AcademicYear,ExtractedAt
42263,"[{'AdministrativeDecisions': [{'StudentID': 42263, 'AssignedDays': 0.0, 'AssignedHours': 0.0, 'AssignedStartDate': None, 'AssignedEndDate': None, 'AssignedReturnDate': None, 'ReasonForDifferenceCode': '', 'DisciplinaryAssignmentSchoolCode': 0, 'ActionDecisionDate': None, 'SequenceNumber': 1, 'DispositionCode': 'PN', 'Days': 0.0, 'Hours': 0.0, 'StartDate': '2022-02-16T00:00:00', 'EndDate': None, 'ReturnDate': None, 'ReturnStatusCode': '', 'ReturnLocationCode': '', 'ActionAuthorityCode': '10', 'PlacementCode': '', 'ResultCode': '', 'SuspensionTagCode': ''}], 'ShortDescription': '', 'StaffReferral': 403, 'ReferredByOther': '', 'SequenceNumber': 2, 'IncidentDate': '2022-02-16T00:00:00', 'IncidentID': 22392, 'ExactTime': None, 'ApproximateTimeCode': '', 'SchoolOfIncidentCode': 16, 'LocationCode': '', 'PossibleMotivationCode': '', 'WeaponTypeCode': '', 'Demerits': 0.0, 'Initials': 'JP', 'InstructionalSupportIndicator': '', 'Comment': 'Student was on her phone during school hours', 'IsSubstituteTeacherReferral': False, 'ViolationCode1': '30', 'ViolationCode2': '', 'ViolationCode3': '', 'ViolationCode4': '', 'ViolationCode5': '', 'PreReferralInterventionCode1': '', 'PreReferralInterventionCode2': '', 'PreReferralInterventionCode3': '', 'UserCode1': '', 'UserCode2': '', 'UserCode3': '', 'UserCode4': '', 'UserCode5': '', 'UserCode6': '', 'UserCode7': '', 'UserCode8': ''}, {'AdministrativeDecisions': [{'StudentID': 42263, 'AssignedDays': 0.0, 'AssignedHours': 0.0, 'AssignedStartDate': None, 'AssignedEndDate': None, 'AssignedReturnDate': None, 'ReasonForDifferenceCode': '', 'DisciplinaryAssignmentSchoolCode': 0, 'ActionDecisionDate': None, 'SequenceNumber': 1, 'DispositionCode': 'WAR', 'Days': 0.0, 'Hours': 0.0, 'StartDate': '2021-11-01T00:00:00', 'EndDate': None, 'ReturnDate': None, 'ReturnStatusCode': '', 'ReturnLocationCode': '', 'ActionAuthorityCode': '10', 'PlacementCode': '', 'ResultCode': '', 'SuspensionTagCode': ''}], 'ShortDescription': '', 'StaffReferral': 2999496, 'ReferredByOther': '', 'SequenceNumber': 1, 'IncidentDate': '2021-11-01T00:00:00', 'IncidentID': 22165, 'ExactTime': None, 'ApproximateTimeCode': '', 'SchoolOfIncidentCode': 16, 'LocationCode': '', 'PossibleMotivationCode': '', 'WeaponTypeCode': '', 'Demerits': 0.0, 'Initials': 'JP', 'InstructionalSupportIndicator': '', 'Comment': 'Student was using her phone during school hours.', 'IsSubstituteTeacherReferral': False, 'ViolationCode1': '30', 'ViolationCode2': '', 'ViolationCode3': '', 'ViolationCode4': '', 'ViolationCode5': '', 'PreReferralInterventionCode1': '', 'PreReferralInterventionCode2': '', 'PreReferralInterventionCode3': '', 'UserCode1': '', 'UserCode2': '', 'UserCode3': '', 'UserCode4': '', 'UserCode5': '', 'UserCode6': '', 'UserCode7': '', 'UserCode8': ''}]",2021-2022,2026-02-22T00:18:17.846637
42285,"[{'AdministrativeDecisions': [{'StudentID': 42285, 'AssignedDays': 0.0, 'AssignedHours': 0.0, 'AssignedStartDate': None, 'AssignedEndDate': None, 'AssignedReturnDate': None, 'ReasonForDifferenceCode': '', 'DisciplinaryAssignmentSchoolCode': 0, 'ActionDecisionDate': None, 'SequenceNumber': 1, 'DispositionCode': 'WAR', 'Days': 0.0, 'Hours': 0.0, 'StartDate': '2021-09-03T00:00:00', 'EndDate': None, 'ReturnDate': None, 'ReturnStatusCode': '', 'ReturnLocationCode': '', 'ActionAuthorityCode': '10', 'PlacementCode': '', 'ResultCode': '', 'SuspensionTagCode': ''}], 'ShortDescription': '', 'StaffReferral': 0, 'ReferredByOther': 'Case C', 'SequenceNumber': 1, 'IncidentDate': '2021-09-03T00:00:00', 'IncidentID': 22065, 'ExactTime': None, 'ApproximateTimeCode': '', 'SchoolOfIncidentCode': 16, 'LocationCode': '', 'PossibleMotivationCode': '', 'WeaponTypeCode': '', 'Demerits': 0.0, 'Initials': 'JP', 'InstructionalSupportIndicator': '', 'Comment': 'Student was using her phone during school hours.', 'IsSubstituteTeacherReferral': False, 'ViolationCode1': '30', 'ViolationCode2': '', 'ViolationCode3': '', 'ViolationCode4': '', 'ViolationCode5': '', 'PreReferralInterventionCode1': '', 'PreReferralInterventionCode2': '', 'PreReferralInterventionCode3': '', 'UserCode1': '', 'UserCode2': '', 'UserCode3': '', 'UserCode4': '', 'UserCode5': '', 'UserCode6': '', 'UserCode7': '', 'UserCode8': ''}]",2021-2022,2026-02-22T00:18:17.846637
42349,"[{'AdministrativeDecisions': [{'StudentID': 42349, 'AssignedDays': 0.0, 'AssignedHours': 0.0, 'AssignedStartDate': None, 'AssignedEndDate': None, 'AssignedReturnDate': None, 'ReasonForDifferenceCode': '', 'DisciplinaryAssignmentSchoolCode': 0, 'ActionDecisionDate': None, 'SequenceNumber': 1, 'DispositionCode': 'SUS', 'Days': 1.0, 'Hours': 0.0, 'StartDate': '2020-03-03T00:00:00', 'EndDate': '2020-03-03T00:00:00', 'ReturnDate': '2020-03-04T00:00:00', 'ReturnStatusCode': '', 'ReturnLocationCode': '', 'ActionAuthorityCode': '10', 'PlacementCode': '', 'ResultCode': '', 'SuspensionTagCode': ''}, {'StudentID': 42349, 'AssignedDays': 0.0, 'AssignedHours': 0.0, 'AssignedStartDate': None, 'AssignedEndDate': None, 'AssignedReturnDate': None, 'ReasonForDifferenceCode': '', 'DisciplinaryAssignmentSchoolCode': 0, 'ActionDecisionDate': None, 'SequenceNumber': 2, 'DispositionCode': 'PC', 'Days': 0.0, 'Hours': 0.0, 'StartDate': None, 'EndDate': None, 'ReturnDate': None, 'ReturnStatusCode': '', 'ReturnLocationCode': '', 'ActionAuthorityCode': '10', 'PlacementCode': '', 'ResultCode': '', 'SuspensionTagCode': ''}], 'ShortDescription': '', 'StaffReferral': 0, 'ReferredByOther': 'Lecy', 'SequenceNumber': 1, 'IncidentDate': '2020-03-02T00:00:00', 'IncidentID': 21912, 'ExactTime': None, 'ApproximateTimeCode': '', 'SchoolOfIncidentCode': 16, 'LocationCode': '', 'PossibleMotivationCode': '', 'WeaponTypeCode': '', 'Demerits': 0.0, 'Initials': '', 'InstructionalSupportIndicator': '', 'Comment': 'Student was vaping a 5mg tobacco product in class.', 'IsSubstituteTeacherReferral': False, 'ViolationCode1': '87', 'ViolationCode2': '38', 'ViolationCode3': '', 'ViolationCode4': '', 'ViolationCode5': '', 'PreReferralInterventionCode1': '', 'PreReferralInterventionCode2': '', 'PreReferralInterventionCode3': '', 'UserCode1': '', 'UserCode2': '', 'UserCode3': '', 'UserCode4': '', 'UserCode5': '', 'UserCode6': '', 'UserCode7': '', 'UserCode8': ''}]",2021-2022,2026-02-22T00:18:17.846637
