StudentID,SchoolCode,ClassRank,ClassSize,ClassRank1012,GPA_CumulativeAcademic,GPA_CumulativeTotal,GPA_CumulativeAcademic1012,GPA_CumulativeAcademicNonWeighted,GPA_CumulativeTotalNonWeighted,GPA_CumulativeAcademic1012NonWeighted,GradePointsCumulative,GPA_UC_Preliminary,GPA_CSU_Preliminary,GPA_CumulativeCitizenship,GPA_GradeReportingCitizenship,CreditsAttempted,CreditsCompleted,GPA_GradeReportingAcademic,GPA_GradeReportingTotal,GPA_GradeReportingAcademicNonWeighted,GPA_GradeReportingTotalNonWeighted,GradeReportingClassRank,GradeReportingClassSize,GradeReportingCreditsAttempted,GradeReportingCreditsCompleted,AcademicYear,ExtractedAt
45394,16,136,225,1,3.4019,3.4019,0.0,3.4019,3.4019,0.0,36.74,0.0,0.0,0.0,0.0,54.0,54.0,3.4714,3.4714,3.4714,3.4714,122,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43054,16,201,225,1,2.2526,2.2526,0.0,2.2526,2.2526,0.0,25.68,0.0,0.0,0.0,0.0,57.0,57.0,2.3,2.3,2.3,2.3,193,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
45416,16,0,0,1,1.9,1.9,0.0,1.9,1.9,0.0,12.54,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2022-2023,2026-02-22T00:19:36.924366
45517,16,123,225,1,3.5255,3.5255,0.0,3.5255,3.5255,0.0,35.96,0.0,0.0,0.0,0.0,54.0,54.0,2.9333,2.9333,2.9333,2.9333,160,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
42939,16,221,225,1,1.5022,1.5022,0.0,1.5022,1.5022,0.0,13.82,0.0,0.0,0.0,0.0,55.0,53.0,0.46,0.46,0.46,0.46,223,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43288,16,0,0,1,3.95,3.95,0.0,3.95,3.95,0.0,23.7,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2022-2023,2026-02-22T00:19:36.924366
43294,16,198,225,1,2.2784,2.2784,0.0,2.2784,2.2784,0.0,23.24,0.0,0.0,0.0,0.0,59.0,59.0,2.7333,2.7333,2.7333,2.7333,172,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43325,16,59,225,1,3.868,3.868,0.0,3.868,3.868,0.0,38.68,0.0,0.0,0.0,0.0,56.0,56.0,3.8143,3.8143,3.8143,3.8143,79,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
45070,16,33,225,1,3.9579,3.9579,0.0,3.9579,3.9579,0.0,45.12,0.0,0.0,0.0,0.0,57.0,57.0,3.8286,3.8286,3.8286,3.8286,72,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
45492,16,183,225,1,2.7422,2.7422,0.0,2.7422,2.7422,0.0,24.68,0.0,0.0,0.0,0.0,56.0,53.0,3.2571,3.2571,3.2571,3.2571,144,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
42873,16,97,225,1,3.7246,3.7246,0.0,3.7246,3.7246,0.0,42.46,0.0,0.0,0.0,0.0,57.0,57.0,3.6143,3.6143,3.6143,3.6143,104,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
42893,16,139,225,1,3.3852,3.3852,0.0,3.3852,3.3852,0.0,36.56,0.0,0.0,0.0,0.0,60.0,60.0,3.2429,3.2429,3.2429,3.2429,146,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
42900,16,36,225,1,3.9537,3.9537,0.0,3.9537,3.9537,0.0,42.7,0.0,0.0,0.0,0.0,57.0,57.0,3.9,3.9,3.9,3.9,55,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
42921,16,19,225,1,3.9889,3.9889,0.0,3.9889,3.9889,0.0,43.08,0.0,0.0,0.0,0.0,59.0,59.0,4.0,4.0,4.0,4.0,1,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
42931,16,1,225,1,4.0,4.0,0.0,4.0,4.0,0.0,38.4,0.0,0.0,0.0,0.0,53.0,53.0,4.0,4.0,4.0,4.0,1,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
42943,16,187,225,1,2.6511,2.6511,0.0,2.6511,2.6511,0.0,23.86,0.0,0.0,0.0,0.0,51.0,51.0,1.7167,1.7167,1.7167,1.7167,206,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
42947,16,172,225,1,2.9288,2.9288,0.0,2.9288,2.9288,0.0,30.46,0.0,0.0,0.0,0.0,54.0,54.0,2.8833,2.8833,2.8833,2.8833,164,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43118,16,168,225,1,2.9867,2.9867,0.0,2.9867,2.9867,0.0,26.88,0.0,0.0,0.0,0.0,51.0,51.0,2.0167,2.0167,2.0167,2.0167,201,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43150,16,116,225,1,3.5807,3.5807,0.0,3.5807,3.5807,0.0,40.82,0.0,0.0,0.0,0.0,57.0,57.0,3.3857,3.3857,3.3857,3.3857,132,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43157,16,56,225,1,3.8759,3.8759,0.0,3.8759,3.8759,0.0,41.86,0.0,0.0,0.0,0.0,60.0,60.0,3.8286,3.8286,3.8286,3.8286,72,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43201,16,133,225,1,3.4327,3.4327,0.0,3.4327,3.4327,0.0,35.7,0.0,0.0,0.0,0.0,58.0,58.0,3.2857,3.2857,3.2857,3.2857,142,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43217,16,177,225,1,2.8556,2.8556,0.0,2.8556,2.8556,0.0,30.84,0.0,0.0,0.0,0.0,59.0,59.0,2.6714,2.6714,2.6714,2.6714,176,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43222,16,118,225,1,3.5722,3.5722,0.0,3.5722,3.5722,0.0,38.58,0.0,0.0,0.0,0.0,57.0,57.0,3.4,3.4,3.4,3.4,130,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43223,16,130,225,1,3.4574,3.4574,0.0,3.4574,3.4574,0.0,37.34,0.0,0.0,0.0,0.0,57.0,57.0,3.3333,3.3333,3.3333,3.3333,138,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43226,16,33,225,1,3.9579,3.9579,0.0,3.9579,3.9579,0.0,45.12,0.0,0.0,0.0,0.0,57.0,57.0,3.9143,3.9143,3.9143,3.9143,45,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43238,16,53,225,1,3.8833,3.8833,0.0,3.8833,3.8833,0.0,41.94,0.0,0.0,0.0,0.0,54.0,54.0,3.8714,3.8714,3.8714,3.8714,61,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43241,16,1,225,1,4.0,4.0,0.0,4.0,4.0,0.0,40.8,0.0,0.0,0.0,0.0,56.0,56.0,4.0,4.0,4.0,4.0,1,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43243,16,51,225,1,3.8875,3.8875,0.0,3.8875,3.8875,0.0,37.32,0.0,0.0,0.0,0.0,54.0,54.0,3.7286,3.7286,3.7286,3.7286,87,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43244,16,69,225,1,3.8431,3.8431,0.0,3.8431,3.8431,0.0,39.2,0.0,0.0,0.0,0.0,60.0,60.0,3.9,3.9,3.9,3.9,55,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43245,16,145,225,1,3.3188,3.3188,0.0,3.3188,3.3188,0.0,31.86,0.0,0.0,0.0,0.0,56.0,56.0,3.6667,3.6667,3.6667,3.6667,98,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43246,16,25,225,1,3.9789,3.9789,0.0,3.9789,3.9789,0.0,45.36,0.0,0.0,0.0,0.0,57.0,57.0,3.9571,3.9571,3.9571,3.9571,31,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43253,16,27,225,1,3.9737,3.9737,0.0,3.9737,3.9737,0.0,45.3,0.0,0.0,0.0,0.0,57.0,57.0,3.9571,3.9571,3.9571,3.9571,31,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43257,16,179,225,1,2.7833,2.7833,0.0,2.7833,2.7833,0.0,30.06,0.0,0.0,0.0,0.0,60.0,60.0,3.6714,3.6714,3.6714,3.6714,94,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43258,16,152,225,1,3.186,3.186,0.0,3.186,3.186,0.0,31.86,0.0,0.0,0.0,0.0,56.0,56.0,3.6286,3.6286,3.6286,3.6286,99,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43261,16,75,225,1,3.8185,3.8185,0.0,3.8185,3.8185,0.0,41.24,0.0,0.0,0.0,0.0,63.0,63.0,3.8286,3.8286,3.8286,3.8286,72,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43262,16,22,225,1,3.9882,3.9882,0.0,3.9882,3.9882,0.0,40.68,0.0,0.0,0.0,0.0,56.0,56.0,4.0,4.0,4.0,4.0,1,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43264,16,42,225,1,3.9315,3.9315,0.0,3.9315,3.9315,0.0,42.46,0.0,0.0,0.0,0.0,54.0,54.0,3.7286,3.7286,3.7286,3.7286,87,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43268,16,156,225,1,3.137,3.137,0.0,3.137,3.137,0.0,33.88,0.0,0.0,0.0,0.0,54.0,54.0,2.2,2.2,2.2,2.2,195,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43269,16,110,225,1,3.6353,3.6353,0.0,3.6353,3.6353,0.0,37.08,0.0,0.0,0.0,0.0,57.0,57.0,3.5667,3.5667,3.5667,3.5667,111,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43270,16,46,225,1,3.9098,3.9098,0.0,3.9098,3.9098,0.0,39.88,0.0,0.0,0.0,0.0,56.0,56.0,3.8571,3.8571,3.8571,3.8571,68,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43274,16,196,225,1,2.3755,2.3755,0.0,2.3755,2.3755,0.0,25.18,0.0,0.0,0.0,0.0,60.0,60.0,2.5714,2.5714,2.5714,2.5714,182,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43275,16,1,225,1,4.0,4.0,0.0,4.0,4.0,0.0,40.8,0.0,0.0,0.0,0.0,56.0,56.0,4.0,4.0,4.0,4.0,1,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43282,16,173,225,1,2.9059,2.9059,0.0,2.9059,2.9059,0.0,29.64,0.0,0.0,0.0,0.0,61.0,60.0,2.9,2.9,2.9,2.9,161,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43298,16,80,225,1,3.7912,3.7912,0.0,3.7912,3.7912,0.0,43.22,0.0,0.0,0.0,0.0,57.0,57.0,3.6714,3.6714,3.6714,3.6714,94,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
43307,16,124,225,1,3.5216,3.5216,0.0,3.5216,3.5216,0.0,35.92,0.0,0.0,0.0,0.0,57.0,57.0,3.5286,3.5286,3.5286,3.5286,113,225,7.0,7.0,2022-2023,2026-02-22T00:19:36.924366
