StudentID,SchoolCode,ClassRank,ClassSize,ClassRank1012,GPA_CumulativeAcademic,GPA_CumulativeTotal,GPA_CumulativeAcademic1012,GPA_CumulativeAcademicNonWeighted,GPA_CumulativeTotalNonWeighted,GPA_CumulativeAcademic1012NonWeighted,GradePointsCumulative,GPA_UC_Preliminary,GPA_CSU_Preliminary,GPA_CumulativeCitizenship,GPA_GradeReportingCitizenship,CreditsAttempted,CreditsCompleted,GPA_GradeReportingAcademic,GPA_GradeReportingTotal,GPA_GradeReportingAcademicNonWeighted,GPA_GradeReportingTotalNonWeighted,GradeReportingClassRank,GradeReportingClassSize,GradeReportingCreditsAttempted,GradeReportingCreditsCompleted,AcademicYear,ExtractedAt
46560,16,150,204,1,3.1422,3.1422,0.0,3.1422,3.1422,0.0,28.28,0.0,0.0,0.0,0.0,49.0,48.0,2.6333,2.6333,2.6333,2.6333,166,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
46568,16,70,204,1,3.8222,3.8222,0.0,3.8222,3.8222,0.0,34.4,0.0,0.0,0.0,0.0,49.0,49.0,3.8333,3.8333,3.8333,3.8333,66,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
46569,16,151,204,1,3.1302,3.1302,0.0,3.1302,3.1302,0.0,26.92,0.0,0.0,0.0,0.0,49.0,48.0,3.1143,3.1143,3.1143,3.1143,136,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
46571,16,32,204,1,3.9512,3.9512,0.0,3.9512,3.9512,0.0,33.98,0.0,0.0,0.0,0.0,49.0,48.0,3.9571,3.9571,3.9571,3.9571,24,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44017,16,129,204,1,3.4175,3.4175,0.0,3.4175,3.4175,0.0,27.34,0.0,0.0,0.0,0.0,51.0,49.0,3.5714,3.5714,3.5714,3.5714,106,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44063,16,59,204,1,3.8512,3.8512,0.0,3.8512,3.8512,0.0,33.12,0.0,0.0,0.0,0.0,49.0,49.0,3.8714,3.8714,3.8714,3.8714,53,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44088,16,108,204,1,3.5261,3.5261,0.0,3.5261,3.5261,0.0,32.44,0.0,0.0,0.0,0.0,49.0,49.0,3.6714,3.6714,3.6714,3.6714,92,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44090,16,101,204,1,3.5696,3.5696,0.0,3.5696,3.5696,0.0,32.84,0.0,0.0,0.0,0.0,49.0,48.0,3.6571,3.6571,3.6571,3.6571,97,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44096,16,167,204,1,2.9359,2.9359,0.0,2.9359,2.9359,0.0,22.9,0.0,0.0,0.0,0.0,52.0,51.0,2.95,2.95,2.95,2.95,150,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44098,16,78,204,1,3.7651,3.7651,0.0,3.7651,3.7651,0.0,32.38,0.0,0.0,0.0,0.0,49.0,48.0,3.8143,3.8143,3.8143,3.8143,68,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44100,16,67,204,1,3.8261,3.8261,0.0,3.8261,3.8261,0.0,35.2,0.0,0.0,0.0,0.0,49.0,49.0,3.6143,3.6143,3.6143,3.6143,103,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44152,16,88,204,1,3.7256,3.7256,0.0,3.7256,3.7256,0.0,32.04,0.0,0.0,0.0,0.0,49.0,47.0,3.7167,3.7167,3.7167,3.7167,86,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44153,16,132,204,1,3.3826,3.3826,0.0,3.3826,3.3826,0.0,31.12,0.0,0.0,0.0,0.0,49.0,49.0,3.4286,3.4286,3.4286,3.4286,116,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44178,16,131,204,1,3.4047,3.4047,0.0,3.4047,3.4047,0.0,29.28,0.0,0.0,0.0,0.0,49.0,49.0,3.7286,3.7286,3.7286,3.7286,84,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44180,16,31,204,1,3.9522,3.9522,0.0,3.9522,3.9522,0.0,36.36,0.0,0.0,0.0,0.0,49.0,49.0,3.8714,3.8714,3.8714,3.8714,53,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44181,16,19,204,1,3.986,3.986,0.0,3.986,3.986,0.0,34.28,0.0,0.0,0.0,0.0,49.0,48.0,4.0,4.0,4.0,4.0,1,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44324,16,65,204,1,3.8279,3.8279,0.0,3.8279,3.8279,0.0,32.92,0.0,0.0,0.0,0.0,49.0,48.0,3.8571,3.8571,3.8571,3.8571,61,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44327,16,36,204,1,3.9442,3.9442,0.0,3.9442,3.9442,0.0,33.92,0.0,0.0,0.0,0.0,49.0,47.0,3.6429,3.6429,3.6429,3.6429,99,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44331,16,107,204,1,3.5304,3.5304,0.0,3.5304,3.5304,0.0,32.48,0.0,0.0,0.0,0.0,49.0,49.0,3.8143,3.8143,3.8143,3.8143,68,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44336,16,154,204,1,3.0953,3.0953,0.0,3.0953,3.0953,0.0,26.62,0.0,0.0,0.0,0.0,49.0,47.0,2.5,2.5,2.5,2.5,175,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44339,16,1,204,1,4.0,4.0,0.0,4.0,4.0,0.0,34.4,0.0,0.0,0.0,0.0,49.0,48.0,4.0,4.0,4.0,4.0,1,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44340,16,48,204,1,3.9,3.9,0.0,3.9,3.9,0.0,35.88,0.0,0.0,0.0,0.0,49.0,48.0,3.7714,3.7714,3.7714,3.7714,75,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44341,16,171,204,1,2.8826,2.8826,0.0,2.8826,2.8826,0.0,26.52,0.0,0.0,0.0,0.0,49.0,48.0,2.7714,2.7714,2.7714,2.7714,160,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
44344,16,85,204,1,3.7326,3.7326,0.0,3.7326,3.7326,0.0,32.1,0.0,0.0,0.0,0.0,49.0,49.0,3.8714,3.8714,3.8714,3.8714,53,203,7.0,7.0,2025-2026,2026-02-22T00:23:44.934264
