StudentID,SchoolCode,ClassRank,ClassSize,ClassRank1012,GPA_CumulativeAcademic,GPA_CumulativeTotal,GPA_CumulativeAcademic1012,GPA_CumulativeAcademicNonWeighted,GPA_CumulativeTotalNonWeighted,GPA_CumulativeAcademic1012NonWeighted,GradePointsCumulative,GPA_UC_Preliminary,GPA_CSU_Preliminary,GPA_CumulativeCitizenship,GPA_GradeReportingCitizenship,CreditsAttempted,CreditsCompleted,GPA_GradeReportingAcademic,GPA_GradeReportingTotal,GPA_GradeReportingAcademicNonWeighted,GPA_GradeReportingTotalNonWeighted,GradeReportingClassRank,GradeReportingClassSize,GradeReportingCreditsAttempted,GradeReportingCreditsCompleted,AcademicYear,ExtractedAt
42320,16,47,218,1,3.9288,3.9288,0.0,3.9288,3.9288,0.0,40.86,0.0,0.0,0.0,0.0,54.0,54.0,3.9143,3.9143,3.9143,3.9143,67,218,7.0,7.0,2021-2022,2026-02-22T00:18:16.459886
42349,16,188,218,1,2.8622,2.8622,0.0,2.8622,2.8622,0.0,25.76,0.0,0.0,0.0,0.0,57.0,54.0,2.1333,2.1333,2.1333,2.1333,204,218,5.0,5.0,2021-2022,2026-02-22T00:18:16.459886
42427,16,215,218,1,1.9118,1.9118,0.0,1.9118,1.9118,0.0,13.0,0.0,0.0,0.0,0.0,52.0,44.0,1.22,1.22,1.22,1.22,214,218,5.0,5.0,2021-2022,2026-02-22T00:18:16.459886
42437,16,40,218,1,3.9525,3.9525,0.0,3.9525,3.9525,0.0,31.62,0.0,0.0,0.0,0.0,42.0,42.0,4.0,4.0,4.0,4.0,1,218,6.0,6.0,2021-2022,2026-02-22T00:18:16.459886
42449,16,32,218,1,3.9667,3.9667,0.0,3.9667,3.9667,0.0,42.84,0.0,0.0,0.0,0.0,57.0,57.0,3.9571,3.9571,3.9571,3.9571,48,218,7.0,7.0,2021-2022,2026-02-22T00:18:16.459886
42450,16,60,218,1,3.8978,3.8978,0.0,3.8978,3.8978,0.0,35.86,0.0,0.0,0.0,0.0,48.0,48.0,4.0,4.0,4.0,4.0,1,218,6.0,6.0,2021-2022,2026-02-22T00:18:16.459886
42463,16,36,218,1,3.963,3.963,0.0,3.963,3.963,0.0,36.46,0.0,0.0,0.0,0.0,48.0,48.0,4.0,4.0,4.0,4.0,1,218,5.0,5.0,2021-2022,2026-02-22T00:18:16.459886
42464,16,73,218,1,3.8442,3.8442,0.0,3.8442,3.8442,0.0,39.98,0.0,0.0,0.0,0.0,54.0,54.0,3.8,3.8,3.8,3.8,93,218,6.0,6.0,2021-2022,2026-02-22T00:18:16.459886
42562,16,44,218,1,3.9404,3.9404,0.0,3.9404,3.9404,0.0,40.98,0.0,0.0,0.0,0.0,54.0,54.0,3.9,3.9,3.9,3.9,71,218,6.0,6.0,2021-2022,2026-02-22T00:18:16.459886
42567,16,51,218,1,3.9212,3.9212,0.0,3.9212,3.9212,0.0,40.78,0.0,0.0,0.0,0.0,54.0,54.0,3.9143,3.9143,3.9143,3.9143,67,218,7.0,7.0,2021-2022,2026-02-22T00:18:16.459886
42622,16,175,218,1,3.0625,3.0625,0.0,3.0625,3.0625,0.0,14.7,0.0,0.0,0.0,0.0,40.0,35.0,4.0,4.0,4.0,4.0,1,218,2.0,2.0,2021-2022,2026-02-22T00:18:16.459886
42680,16,98,218,1,3.7196,3.7196,0.0,3.7196,3.7196,0.0,37.94,0.0,0.0,0.0,0.0,57.0,57.0,3.5857,3.5857,3.5857,3.5857,129,218,7.0,7.0,2021-2022,2026-02-22T00:18:16.459886
42699,16,25,218,1,3.9827,3.9827,0.0,3.9827,3.9827,0.0,41.42,0.0,0.0,0.0,0.0,54.0,54.0,4.0,4.0,4.0,4.0,1,218,7.0,7.0,2021-2022,2026-02-22T00:18:16.459886
42700,16,50,218,1,3.9224,3.9224,0.0,3.9224,3.9224,0.0,38.44,0.0,0.0,0.0,0.0,51.0,51.0,3.95,3.95,3.95,3.95,57,218,6.0,6.0,2021-2022,2026-02-22T00:18:16.459886
42701,16,116,218,1,3.625,3.625,0.0,3.625,3.625,0.0,37.7,0.0,0.0,0.0,0.0,54.0,54.0,3.2857,3.2857,3.2857,3.2857,158,218,7.0,7.0,2021-2022,2026-02-22T00:18:16.459886
