StudentID,SchoolCode,ClassRank,ClassSize,ClassRank1012,GPA_CumulativeAcademic,GPA_CumulativeTotal,GPA_CumulativeAcademic1012,GPA_CumulativeAcademicNonWeighted,GPA_CumulativeTotalNonWeighted,GPA_CumulativeAcademic1012NonWeighted,GradePointsCumulative,GPA_UC_Preliminary,GPA_CSU_Preliminary,GPA_CumulativeCitizenship,GPA_GradeReportingCitizenship,CreditsAttempted,CreditsCompleted,GPA_GradeReportingAcademic,GPA_GradeReportingTotal,GPA_GradeReportingAcademicNonWeighted,GPA_GradeReportingTotalNonWeighted,GradeReportingClassRank,GradeReportingClassSize,GradeReportingCreditsAttempted,GradeReportingCreditsCompleted,AcademicYear,ExtractedAt
43713,16,1,225,1,4.0,4.0,0.0,4.0,4.0,0.0,9.6,0.0,0.0,0.0,0.0,17.0,17.0,4.0,4.0,4.0,4.0,1,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
43740,16,180,225,1,2.9917,2.9917,0.0,2.9917,2.9917,0.0,7.18,0.0,0.0,0.0,0.0,18.0,18.0,3.35,3.35,3.35,3.35,161,226,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
43789,16,99,225,1,3.8083,3.8083,0.0,3.8083,3.8083,0.0,9.14,0.0,0.0,0.0,0.0,18.0,18.0,4.0,4.0,4.0,4.0,1,226,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
43806,16,138,225,1,3.54,3.54,0.0,3.54,3.54,0.0,10.62,0.0,0.0,0.0,0.0,15.0,15.0,3.88,3.88,3.88,3.88,94,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
44015,16,0,0,1,3.975,3.975,0.0,3.975,3.975,0.0,9.54,0.0,0.0,0.0,0.0,17.0,17.0,4.0,4.0,4.0,4.0,1,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
44230,16,213,225,1,2.1909,2.1909,0.0,2.1909,2.1909,0.0,4.82,0.0,0.0,0.0,0.0,15.0,11.0,2.6,2.6,2.6,2.6,200,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
44251,16,183,225,1,2.6417,2.6417,0.0,2.6417,2.6417,0.0,6.34,0.0,0.0,0.0,0.0,17.0,16.0,2.425,2.425,2.425,2.425,206,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
44636,16,213,225,1,2.05,2.05,0.0,2.05,2.05,0.0,4.1,0.0,0.0,0.0,0.0,17.0,13.0,2.35,2.35,2.35,2.35,207,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
44953,16,147,225,1,3.3333,3.3333,0.0,3.3333,3.3333,0.0,10.0,0.0,0.0,0.0,0.0,15.0,15.0,3.48,3.48,3.48,3.48,152,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
44973,16,0,0,1,2.2091,2.2091,0.0,2.2091,2.2091,0.0,4.86,0.0,0.0,0.0,0.0,21.0,20.0,1.4333,1.4333,1.4333,1.4333,224,226,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
44982,16,202,225,1,2.5667,2.5667,0.0,2.5667,2.5667,0.0,7.7,0.0,0.0,0.0,0.0,18.0,18.0,3.02,3.02,3.02,3.02,181,226,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
45001,16,173,225,1,3.02,3.02,0.0,3.02,3.02,0.0,9.06,0.0,0.0,0.0,0.0,15.0,15.0,3.26,3.26,3.26,3.26,169,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
45360,16,60,225,1,3.8417,3.8417,0.0,3.8417,3.8417,0.0,9.22,0.0,0.0,0.0,0.0,18.0,18.0,3.75,3.75,3.75,3.75,119,226,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
45667,16,90,219,1,3.8556,3.8556,0.0,3.8556,3.8556,0.0,13.88,0.0,0.0,0.0,0.0,18.0,18.0,4.0,4.0,4.0,4.0,1,227,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
44114,16,151,225,1,3.4167,3.4167,0.0,3.4167,3.4167,0.0,8.2,0.0,0.0,0.0,0.0,17.0,17.0,3.85,3.85,3.85,3.85,100,226,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
45680,16,201,219,1,2.8833,2.8833,0.0,2.8833,2.8833,0.0,10.38,0.0,0.0,0.0,0.0,18.0,18.0,3.1833,3.1833,3.1833,3.1833,162,227,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
43153,16,91,225,1,3.7667,3.7667,0.0,3.7667,3.7667,0.0,9.04,0.0,0.0,0.0,0.0,18.0,18.0,3.775,3.775,3.775,3.775,116,226,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
44250,16,210,225,1,2.0083,2.0083,0.0,2.0083,2.0083,0.0,4.82,0.0,0.0,0.0,0.0,18.0,18.0,2.0,2.0,2.0,2.0,217,226,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
