StudentID,AcademicYear,ExtractedAt,AttendanceProgramCodePrimary,ReportingSchoolCode,DaysCompleteIndependentStudy,DaysIncompleteIndependentStudy,DaysInSchoolSuspension,PeriodsExpectedToAttend,PeriodsAttended,PeriodsOutOfSchoolSuspension,PeriodsAttendedInSchoolSuspension,PeriodsExcusedAbsence,PeriodsUnexcusedAbsence,PeriodsCompleteIndependentStudy,PeriodsIncompleteIndependentStudy,SchoolYear,SchoolCode,DaysEnrolled,DaysPresent,DaysAbsence,DaysExcused,DaysUnexcused,DaysTardy,DaysOfTruancy,DaysSuspension
41857,2020-2021,2026-02-22T00:14:46.021069,,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014,14,180,179,1,0,1,2,0,0
41857,2020-2021,2026-02-22T00:14:46.021069,,0,0,0,0,0,0,0,0,0,0,0,0,2014-2015,14,180,176,4,4,0,0,0,0
41857,2020-2021,2026-02-22T00:14:46.021069,,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,14,180,178,2,2,0,0,0,0
41857,2020-2021,2026-02-22T00:14:46.021069,S,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,12,180,180,0,0,0,0,0,0
41857,2020-2021,2026-02-22T00:14:46.021069,S,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,12,179,173,6,3,3,0,3,0
41857,2020-2021,2026-02-22T00:14:46.021069,S,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,16,179,175,4,4,0,2,0,0
41857,2020-2021,2026-02-22T00:14:46.021069,S,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,16,177,170,7,2,5,11,5,0
41857,2020-2021,2026-02-22T00:14:46.021069,S,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,1,214,214,0,0,0,0,0,0
41857,2020-2021,2026-02-22T00:14:46.021069,S,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,16,2,0,2,1,1,0,1,0
41873,2020-2021,2026-02-22T00:14:46.021069,,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014,14,180,174,6,2,4,0,0,0
41873,2020-2021,2026-02-22T00:14:46.021069,,0,0,0,0,0,0,0,0,0,0,0,0,2014-2015,14,179,176,3,0,3,0,0,0
41873,2020-2021,2026-02-22T00:14:46.021069,,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,14,180,177,3,2,1,0,1,0
41873,2020-2021,2026-02-22T00:14:46.021069,,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,14,180,177,3,3,0,2,0,0
