StudentID,AcademicYear,ExtractedAt,AttendanceProgramCodePrimary,ReportingSchoolCode,DaysCompleteIndependentStudy,DaysIncompleteIndependentStudy,DaysInSchoolSuspension,PeriodsExpectedToAttend,PeriodsAttended,PeriodsOutOfSchoolSuspension,PeriodsAttendedInSchoolSuspension,PeriodsExcusedAbsence,PeriodsUnexcusedAbsence,PeriodsCompleteIndependentStudy,PeriodsIncompleteIndependentStudy,SchoolYear,SchoolCode,DaysEnrolled,DaysPresent,DaysAbsence,DaysExcused,DaysUnexcused,DaysTardy,DaysOfTruancy,DaysSuspension
43555,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,14,180,178,2,2,0,0,0,0
43555,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,14,180,174,6,4,2,1,2,0
43555,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,14,179,164,15,15,0,2,0,0
43555,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,14,179,177,2,1,1,0,1,0
43555,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,14,177,174,3,3,0,0,0,0
43555,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,14,180,178,2,2,0,0,0,0
43555,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022,14,180,176,4,4,0,0,0,0
43555,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,16,180,169,11,11,0,0,0,0
43555,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024,16,180,167,13,12,0,0,1,1
43555,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2024-2025,16,180,164,16,16,0,0,0,0
43570,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,19,180,168,12,7,5,32,5,0
43570,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,19,180,172,8,4,4,23,4,0
43570,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,19,179,172,7,3,4,61,4,0
43570,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,19,179,173,6,0,6,81,6,0
43570,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,19,172,167,5,5,0,22,0,0
43570,2024-2025,2026-02-22T00:21:04.396552,I,0,5,0,0,0,0,0,0,0,0,0,0,2019-2020,19,5,5,0,0,0,0,0,0
43570,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,19,146,139,7,5,2,6,2,0
43570,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022,19,29,26,3,1,2,7,2,0
43570,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,16,180,169,11,4,7,9,7,0
43570,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024,16,180,156,24,10,14,0,14,0
43570,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2024-2025,16,180,159,21,3,18,0,19,0
43577,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,14,180,178,2,2,0,0,0,0
43577,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,14,180,178,2,2,0,2,0,0
43577,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,14,179,177,2,2,0,4,0,0
43577,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,14,179,172,7,7,0,1,0,0
43577,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,14,177,173,4,4,0,1,0,0
43577,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,14,180,176,4,4,0,0,0,0
43577,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022,14,180,176,4,4,0,0,0,0
43577,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,16,180,173,7,7,0,0,0,0
43577,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024,16,180,176,4,4,0,0,0,0
43577,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2024-2025,16,180,169,11,11,0,0,1,0
43578,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,14,180,176,4,4,0,0,0,0
43578,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,14,180,176,4,4,0,2,0,0
43578,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,14,179,176,3,3,0,4,0,0
43578,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,14,179,174,5,4,1,0,1,0
43578,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,14,177,176,1,1,0,1,0,0
43578,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,14,180,178,2,2,0,0,0,0
43578,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022,14,180,180,0,0,0,1,0,0
43578,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,16,180,172,8,8,0,0,0,0
43578,2024-2025,2026-02-22T00:21:04.396552,,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024,16,180,164,16,16,0,0,1,0
