StudentID,AcademicYear,ExtractedAt,AttendanceProgramCodePrimary,ReportingSchoolCode,DaysCompleteIndependentStudy,DaysIncompleteIndependentStudy,DaysInSchoolSuspension,PeriodsExpectedToAttend,PeriodsAttended,PeriodsOutOfSchoolSuspension,PeriodsAttendedInSchoolSuspension,PeriodsExcusedAbsence,PeriodsUnexcusedAbsence,PeriodsCompleteIndependentStudy,PeriodsIncompleteIndependentStudy,SchoolYear,SchoolCode,DaysEnrolled,DaysPresent,DaysAbsence,DaysExcused,DaysUnexcused,DaysTardy,DaysOfTruancy,DaysSuspension
42683,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014,14,180,163,17,17,0,4,0,0
42683,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2014-2015,14,179,167,12,12,0,6,0,0
42683,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,14,180,162,18,14,4,1,4,0
42683,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,14,180,167,13,13,0,0,0,0
42683,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,14,179,160,19,17,2,1,2,0
42683,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,14,179,173,6,4,2,0,2,0
42683,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,14,177,167,10,10,0,0,0,0
42683,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,16,180,168,12,11,1,0,34,0
42683,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022,16,180,170,10,10,0,78,0,0
42683,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,16,180,154,26,19,7,44,7,0
42709,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014,19,180,179,1,1,0,2,0,0
42709,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2014-2015,19,179,159,20,20,0,6,0,0
42709,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,19,180,178,2,0,2,1,2,0
42709,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,19,180,173,7,7,0,5,0,0
42709,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,19,179,176,3,3,0,9,0,0
42709,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,19,179,178,1,1,0,9,0,0
42709,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,19,177,174,3,3,0,8,0,0
42709,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,16,180,180,0,0,0,0,5,0
42709,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022,16,180,176,4,1,3,0,3,0
42709,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,16,180,179,1,0,1,0,1,0
42730,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014,14,180,163,17,17,0,3,0,0
42730,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2014-2015,14,179,167,12,11,1,10,1,0
42730,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,14,180,170,10,9,1,19,1,0
42730,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,14,180,158,22,22,0,13,0,0
42730,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,14,179,166,13,12,1,3,1,0
42730,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,14,179,160,19,18,1,2,1,0
42730,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,14,177,156,21,21,0,1,0,0
42730,2022-2023,2026-02-22T00:18:21.256627,,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,16,180,179,1,1,0,0,6,0
