StudentID,AcademicYear,ExtractedAt,AttendanceProgramCodePrimary,ReportingSchoolCode,DaysCompleteIndependentStudy,DaysIncompleteIndependentStudy,DaysInSchoolSuspension,PeriodsExpectedToAttend,PeriodsAttended,PeriodsOutOfSchoolSuspension,PeriodsAttendedInSchoolSuspension,PeriodsExcusedAbsence,PeriodsUnexcusedAbsence,PeriodsCompleteIndependentStudy,PeriodsIncompleteIndependentStudy,SchoolYear,SchoolCode,DaysEnrolled,DaysPresent,DaysAbsence,DaysExcused,DaysUnexcused,DaysTardy,DaysOfTruancy,DaysSuspension
43915,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2025-2026,16,108,99,9,9,0,0,0,0
43917,2025-2026,2026-02-22T00:22:29.815209,T,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,19,180,175,5,2,3,1,3,0
43917,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,19,179,178,1,1,0,1,0,0
43917,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,19,179,178,1,1,0,2,0,0
43917,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,19,177,171,6,6,0,0,0,0
43917,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021,19,180,179,1,0,1,0,1,0
43917,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022,19,180,163,17,16,1,2,1,0
43917,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,19,180,159,21,18,3,3,3,0
43917,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024,16,180,172,8,7,1,0,2,0
43917,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2024-2025,16,180,172,8,5,3,0,3,0
43917,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2025-2026,16,108,103,5,4,1,0,1,0
43921,2025-2026,2026-02-22T00:22:29.815209,T,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,19,180,171,9,3,6,6,6,0
43921,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018,19,179,172,7,1,6,1,6,0
43921,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,19,179,173,6,6,0,2,0,0
43921,2025-2026,2026-02-22T00:22:29.815209,I,0,5,0,0,0,0,0,0,0,0,0,0,2019-2020,19,5,5,0,0,0,0,0,0
43921,2025-2026,2026-02-22T00:22:29.815209,,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020,19,172,166,6,5,1,0,1,0
